1.00_10,1.00_20,1.00_40,1.00_60,2.80_10,2.80_20,2.80_40,2.80_60,3.00_10,3.00_20,3.00_40,3.00_60,3.50_10,3.50_20,3.50_40,3.50_60,4.00_10,4.00_20,4.00_40,4.00_60
134738.79782280631,244036.07420325585,224079.0473008677,743944.2120456131,77547.73254242228,246475.1765228038,173023.181266232,499281.16590192734,131753.19451305555,102772.29515920575,254931.7129292987,283098.26586942025,53563.95265383295,30857.104175739754,27632.444911077597,27837.729270328466,2738.3644470138443,2851.389362993448,2238.716138472312,2254.4928306765974
100095.58522355849,181126.8794525925,164307.08842176752,510598.87190691667,56774.18524615149,181226.87145449469,128252.91335610152,371078.39337891736,99626.39182184999,75979.31878720815,200410.66891218265,226840.5761665203,44786.024744822935,26282.670439932277,24107.272595621107,24831.5835007797,2490.8275262018606,2609.8498857391223,1894.8912945174166,1930.3479214375297
76759.1910481862,138781.13722418045,135972.35870982628,363480.94336010044,46954.12016271031,137642.30459721846,106613.34680843423,284686.26867185277,77673.66986076946,63089.62215851757,162002.58161380398,186633.22718187264,38318.02384937002,22870.06206931277,21437.90869834349,22526.853242018165,2299.2548807828184,2422.42685151248,1688.0731085734833,1731.880722908562
59821.03751748542,108068.36145815931,118586.96955380161,263572.9599820378,40936.6558134784,106274.74847829538,93212.30209646224,221957.15502014014,61508.032269883355,55125.371647205284,132830.1983221093,155640.57741570406,33172.760090436364,20119.95875584329,19252.370258188068,20614.193086086816,2138.571440947014,2264.738308093044,1542.4807190997572,1590.481550628489
47095.65252862686,85011.49178367849,106527.91927126196,193345.87522995766,36765.95288160761,82908.15859428584,83865.39094597186,174812.00682572054,49185.92723490874,49578.09671415807,109891.49018610718,130905.87938377088,28933.38664050193,17823.960942921993,17397.796203997077,18968.27743519133,1998.7380573930143,2127.0573032454095,1431.6437628848298,1481.8600267672668
37341.03598321237,67350.45806931864,97532.28839832766,142975.3176386135,33656.33281810845,65148.03730003892,76867.11589556548,138659.4329166356,39602.70904666411,45428.52966132589,91487.37096005474,110763.05813818617,25368.61519430501,15867.460869515024,15791.204832577243,17521.9399043681,1874.4346369427371,2004.2470542009619,1343.1124695146116,1394.4722068215988
29763.915719360673,53642.05342848797,90489.25441779486,106361.49739791937,31222.56919987835,51469.01450645548,71373.35120447676,110566.57062433976,32050.266162921554,42173.20872790289,76524.73259458842,94140.96921422149,22330.920472774116,14177.811466968695,14380.536156532531,16233.5146641741,1762.3955970164752,1893.165084369175,1270.0353100687043,1321.9101582184735
23822.504832576626,42900.93467900079,84781.02086642905,79492.84289574742,29250.588827428095,40833.46062482228,66911.87043790506,88530.00062459073,26042.01347857231,39530.89062583161,64245.34976559976,80294.94088851992,19717.901342768273,12704.776711320259,13130.065625391315,15074.681382004555,1660.4227103589626,1791.7028019086515,1208.2462542522421,1260.2488081300403
19130.694319957194,34425.18791818506,80032.92071559245,59634.15997719606,27610.64447011182,32505.568882106818,63195.02655445047,71121.66378820712,21228.44327452914,37330.44849416192,54097.098942822086,68680.24951139561,17454.374185941368,11411.53142552966,12013.740526207306,14024.94661431616,1566.9390223963824,1698.3520864533496,1155.0293559550328,1206.9128201105252
15405.250525147647,27700.16968708818,76002.7531133235,44874.50629622459,26218.901566308185,25948.63346805699,60036.23249705774,57293.7374440401,17350.81445672036,35460.97289939236,45664.278979066934,58884.165209397375,15482.91538144421,10269.940245349379,11011.712708489511,13068.790871802794,1480.7593629124688,1611.982629235919,1108.519987361466,1160.1240269567372
12434.069496096648,22340.687358908635,72526.06019294419,33855.40019848806,25018.456761859867,20763.210826279257,57308.44263957008,46261.332094367586,14213.397359881003,33846.99855519707,38626.28494677617,50585.911106730666,13758.377633092812,9257.839255799281,10108.358766352278,12194.050595771763,1400.960851740167,1531.7164727878817,1067.3856329924095,1118.6052217723204
10055.858400191119,18053.99102731839,69486.72342914339,25598.550611163293,23969.144834193354,16647.53522328225,54921.75010243343,37427.41341423652,11665.731187926785,32435.151000243233,32731.376286325583,43531.383748787746,12244.478973889014,8357.356739095108,9291.067432679567,11390.934101029123,1326.8045568533346,1456.852222718055,1030.643029477904,1081.4096162105573
8146.512791179092,14614.962843984216,66800.1036844,19392.434144295843,23041.696805039745,13371.004981454513,52810.49671204027,30332.464049641825,9590.721240914794,31186.469949867656,27779.140974202608,37516.32214726576,10911.561441898042,7553.817119765476,8549.45488768902,10651.389387940124,1257.6854400996292,1386.816699840745,997.5473286022758,1047.816991919526
6609.655467949813,11848.888395034706,64402.85394199205,14715.487366266316,22214.211507608154,10755.804450239633,50925.461952911275,24619.52049729948,7896.35333930003,30071.760775763945,23608.289592575627,32374.623211075195,9735.052236813408,6834.993179504819,7874.83394213834,9968.679648993388,1193.0989372342553,1321.1327111135074,967.5217805621272,1017.2675360117205
