timestep,value,energy,concentration,equation
1,142333.0,1.00kT,10µM,ED
2,92429.0,1.00kT,10µM,ED
3,72216.0,1.00kT,10µM,ED
4,58183.0,1.00kT,10µM,ED
5,46558.0,1.00kT,10µM,ED
6,37829.0,1.00kT,10µM,ED
7,30887.0,1.00kT,10µM,ED
8,25188.0,1.00kT,10µM,ED
9,20340.0,1.00kT,10µM,ED
10,16951.0,1.00kT,10µM,ED
11,13944.0,1.00kT,10µM,ED
12,11495.0,1.00kT,10µM,ED
13,9609.0,1.00kT,10µM,ED
14,8143.0,1.00kT,10µM,ED
15,6648.0,1.00kT,10µM,ED
16,5529.0,1.00kT,10µM,ED
17,4731.0,1.00kT,10µM,ED
18,4111.0,1.00kT,10µM,ED
19,3434.0,1.00kT,10µM,ED
20,2948.0,1.00kT,10µM,ED
21,2376.0,1.00kT,10µM,ED
22,2143.0,1.00kT,10µM,ED
23,1777.0,1.00kT,10µM,ED
24,1630.0,1.00kT,10µM,ED
25,1404.0,1.00kT,10µM,ED
26,1170.0,1.00kT,10µM,ED
27,978.0,1.00kT,10µM,ED
28,943.0,1.00kT,10µM,ED
29,761.0,1.00kT,10µM,ED
30,737.0,1.00kT,10µM,ED
31,641.0,1.00kT,10µM,ED
32,497.0,1.00kT,10µM,ED
33,439.0,1.00kT,10µM,ED
34,362.0,1.00kT,10µM,ED
35,356.0,1.00kT,10µM,ED
36,343.0,1.00kT,10µM,ED
37,280.0,1.00kT,10µM,ED
38,261.0,1.00kT,10µM,ED
39,226.0,1.00kT,10µM,ED
40,177.0,1.00kT,10µM,ED
41,168.0,1.00kT,10µM,ED
42,155.0,1.00kT,10µM,ED
43,126.0,1.00kT,10µM,ED
44,113.0,1.00kT,10µM,ED
45,111.0,1.00kT,10µM,ED
46,106.0,1.00kT,10µM,ED
47,78.0,1.00kT,10µM,ED
48,68.0,1.00kT,10µM,ED
49,55.0,1.00kT,10µM,ED
51,56.0,1.00kT,10µM,ED
53,35.0,1.00kT,10µM,ED
54,30.0,1.00kT,10µM,ED
56,34.0,1.00kT,10µM,ED
60,28.0,1.00kT,10µM,ED
61,21.0,1.00kT,10µM,ED
64,14.0,1.00kT,10µM,ED
65,13.0,1.00kT,10µM,ED
66,12.0,1.00kT,10µM,ED
69,6.0,1.00kT,10µM,ED
72,8.0,1.00kT,10µM,ED
74,7.0,1.00kT,10µM,ED
82,2.0,1.00kT,10µM,ED
83,3.0,1.00kT,10µM,ED
93,1.0,1.00kT,10µM,ED
1,261598.0,1.00kT,20µM,ED
2,164720.0,1.00kT,20µM,ED
3,128329.0,1.00kT,20µM,ED
4,102797.0,1.00kT,20µM,ED
5,83068.0,1.00kT,20µM,ED
6,67549.0,1.00kT,20µM,ED
7,55417.0,1.00kT,20µM,ED
8,45476.0,1.00kT,20µM,ED
9,37653.0,1.00kT,20µM,ED
10,31655.0,1.00kT,20µM,ED
11,26325.0,1.00kT,20µM,ED
12,22348.0,1.00kT,20µM,ED
13,18479.0,1.00kT,20µM,ED
14,15691.0,1.00kT,20µM,ED
15,13587.0,1.00kT,20µM,ED
16,11739.0,1.00kT,20µM,ED
17,9792.0,1.00kT,20µM,ED
18,8608.0,1.00kT,20µM,ED
19,7311.0,1.00kT,20µM,ED
20,6302.0,1.00kT,20µM,ED
21,5544.0,1.00kT,20µM,ED
22,4884.0,1.00kT,20µM,ED
23,4226.0,1.00kT,20µM,ED
24,3825.0,1.00kT,20µM,ED
25,3324.0,1.00kT,20µM,ED
26,3001.0,1.00kT,20µM,ED
27,2479.0,1.00kT,20µM,ED
28,2256.0,1.00kT,20µM,ED
29,1971.0,1.00kT,20µM,ED
30,1805.0,1.00kT,20µM,ED
31,1610.0,1.00kT,20µM,ED
32,1418.0,1.00kT,20µM,ED
33,1258.0,1.00kT,20µM,ED
34,1128.0,1.00kT,20µM,ED
35,983.0,1.00kT,20µM,ED
36,894.0,1.00kT,20µM,ED
37,805.0,1.00kT,20µM,ED
38,703.0,1.00kT,20µM,ED
39,621.0,1.00kT,20µM,ED
40,639.0,1.00kT,20µM,ED
41,490.0,1.00kT,20µM,ED
42,523.0,1.00kT,20µM,ED
43,384.0,1.00kT,20µM,ED
44,389.0,1.00kT,20µM,ED
45,358.0,1.00kT,20µM,ED
46,297.0,1.00kT,20µM,ED
47,270.0,1.00kT,20µM,ED
48,249.0,1.00kT,20µM,ED
49,245.0,1.00kT,20µM,ED
50,186.0,1.00kT,20µM,ED
51,196.0,1.00kT,20µM,ED
