,ED,DED,TED,QED,PED,Power-law,ERFC
1.00_10,6203244.541285917,120473.12096218558,3848.1690962397834,3848.1690965857706,3785.583133864574,36183152.64127179,2643926.412093909
1.00_20,22213964.38527805,638655.0568819949,6153.222193104055,3755.6013713145876,3755.6013719860866,81426388.40646996,11071100.96670044
1.00_40,130797089.67332302,3028916.738328818,15995.428942431396,9291.502976159034,9291.50300932222,167677142.3581494,2140694811.0921693
1.00_60,443724002.1942913,6137616.665278208,35080.66621590561,12636.366800788226,12612.51980632072,227135673.2780328,320522739.0713877
2.80_10,4217618.263873895,55823.78237982358,8800.820485612396,2557.0446622116588,2573.9770442688364,36783102.49112639,274928071.21975815
2.80_20,13852493.968971541,203855.59993061196,10422.22553660831,3389.1768510905117,3405.9409453784265,66737875.41234182,6570252.244079837
2.80_40,43465095.02984974,573834.0454863398,11189.23054707351,6733.462737336486,6733.4628149443215,98201668.5894238,1021331876.9569695
2.80_60,92665826.93618086,897101.0403518507,24039.784718141356,15097.936317408221,14955.711739055494,161315181.24748036,59389820.27210852
3.00_10,2194805.0367175043,24136.345073470708,2031.5148747789876,2031.5148809797493,2031.5148866384584,36117514.373611294,478608.50354987447
3.00_20,6649033.171491125,117885.67625308571,3418.661240054053,3266.180085119446,3266.1800884940017,60386489.70667951,363244686.2176912
3.00_40,19475661.581259973,294586.6967771853,12836.50213350518,5469.909890768568,5479.80717910394,74655718.61852601,10405233.319975782
3.00_60,34869008.74375912,392480.18675725156,9102.363691976523,6770.314750620618,6770.3147395460255,93912452.46282062,20017330.339535743
3.50_10,304815.7627593328,11727.761648943406,2823.7841085389864,2729.398329523935,2729.398550804347,11193907.49908717,23429.95961121713
3.50_20,214965.29921877632,13158.109056440951,1828.8121825632502,1147.3580399210648,1126.5252490639243,2164829.0098627754,87077.79149663428
3.50_40,354196.6826839114,12244.575254468173,2163.7213088468425,1313.57695080363,1267.7135265382396,1499786.6717855746,189887.18289796682
3.50_60,544066.7405807726,18422.48480614526,2558.6981442726833,1029.7927707730648,1005.2283613666558,1670070.7869089257,300156.04855494347
4.00_10,5183.177617641235,570.7550316837868,281.26021912007224,280.23909640902576,278.63449304781165,43404.16434400914,2016.02851855301
4.00_20,7353.31108156355,805.7873742376818,333.998370807971,230.96926484016052,230.96875413254065,40997.5951359495,3258.956277481417
4.00_40,8394.766772384102,625.4368750522748,302.9883701969816,295.7056859823635,295.7056864560539,26544.000089472804,28479.87682350891
4.00_60,10477.658592888625,716.7813189545277,401.06219581366184,330.43267089025323,328.37162599137207,25354.246950938294,27945.65836191832
