duration,uniform_250,uniform_350,gaus_250,gaus_350
1,1192739,11976,2644846,25712
2,779689,10539,1486948,21954
3,541090,9717,871955,19447
4,389455,8955,523917,17564
5,288740,8467,320429,15537
6,219244,7617,199124,13969
7,170882,7279,124460,12725
8,133626,7065,78640,11769
9,107017,6496,50798,10713
10,87105,6133,32420,9871
11,71331,5841,21275,9078
12,59414,5460,13764,8540
13,49180,5429,9109,7990
14,41663,5088,5960,7412
15,35279,5013,4011,6962
16,30401,4784,2709,6514
17,26503,4558,1791,6238
18,22735,4463,1153,5894
19,20017,4257,810,5440
20,17225,4011,559,5234
21,15287,3970,359,5084
22,13550,3954,272,4817
23,11924,3747,173,4624
24,10601,3654,114,4471
25,9379,3507,87,4249
26,8391,3415,60,4095
27,7532,3332,42,3653
28,6980,3272,31,3798
29,6101,3173,13,3526
30,5413,3055,13,3472
31,4862,2995,5,3364
32,4324,2948,5,3188
33,3947,2908,6,3024
34,3611,2811,6,3011
35,3354,2763,1,2882
36,2877,2637,2,2806
37,2529,2593,1,2594
38,2347,2652,,2704
39,2156,2547,1,2650
40,1975,2479,,2554
41,1772,2318,,2496
42,1611,2339,1,2285
43,1490,2272,,2321
44,1344,2117,,2223
45,1171,2169,,2161
46,1156,2167,,2057
47,940,2164,,2025
48,929,2111,,1964
49,856,1986,,1975
50,777,1964,,1851
51,700,1905,,1812
52,663,1878,,1801
53,616,1917,,1753
54,512,1876,,1762
55,483,1788,,1603
56,435,1667,,1567
57,386,1707,,1616
58,348,1736,,1504
59,329,1747,,1523
60,305,1643,,1487
61,316,1570,,1437
62,231,1566,,1379
63,237,1535,,1375
64,213,1611,,1365
65,199,1484,,1375
66,194,1461,,1300
67,174,1505,,1254
68,158,1437,,1260
69,143,1371,,1239
70,130,1351,,1214
71,113,1386,,1133
72,112,1372,,1114
73,108,1304,,1081
74,88,1298,,1059
75,69,1262,,1051
76,96,1266,,974
77,68,1264,,1029
78,76,1206,,954
79,73,1159,,954
80,66,1126,,949
81,47,1083,,939
82,47,1147,,881
83,41,1108,,947
84,42,1080,,896
85,34,1112,,840
86,26,1078,,817
87,27,1013,,757
88,19,1010,,791
89,24,991,,795
90,25,991,,760
91,25,1001,,719
92,24,1017,,733
93,20,953,,747
94,18,927,,710
95,18,879,,678
96,20,912,,685
97,16,891,,705
98,10,901,,632
99,11,903,,667
100,8,838,,626
101,13,861,,657
102,6,807,,630
103,6,822,,616
104,8,835,,628
105,3,842,,564
106,8,820,,622
107,6,838,,541
108,5,764,,578
109,5,724,,521
110,3,741,,549
111,5,723,,561
112,4,701,,491
113,3,697,,510
114,5,705,,495
115,5,676,,467
116,4,676,,524
117,1,661,,447
118,1,676,,458
119,2,626,,471
120,,617,,491
121,2,586,,422
122,1,642,,419
123,1,596,,463
124,1,603,,372
125,1,618,,414
126,1,598,,409
127,,595,,399
128,,584,,415
129,,570,,428
130,1,544,,366
131,1,606,,375
132,,554,,382
133,1,525,,389
134,1,504,,366
135,,521,,398
136,,474,,356
137,2,525,,361
138,,484,,349
139,1,495,,350
140,2,497,,358
141,2,426,,320
142,1,493,,295
143,1,460,,328
144,,469,,300
145,,455,,267
146,,502,,287
147,,476,,311
148,,454,,319
149,,447,,308
150,,414,,282
151,1,422,,309
152,,426,,288
153,,373,,251
154,,393,,296
155,,425,,284
156,,404,,293
157,,406,,260
158,,383,,258
159,,382,,276
160,,393,,255
161,,354,,225
162,,400,,228
163,,372,,238
164,,404,,263
165,,345,,235
166,,328,,246
167,,327,,243
168,,358,,244
169,,369,,219
170,,356,,226
171,,308,,242
172,,327,,239
173,,307,,218
174,,323,,239
175,,308,,205
176,,335,,202
177,,280,,207
178,,304,,194
